99,42.4924,1.9969,-0.26,0.02,1.49,3.63,6.4,10.84,14.45,14.65,11.51,7.26,3.2,0.41
100,42.4927,2.0939,-0.01,0.31,1.7,3.86,7.31,11.55,14.58,14.72,11.91,7.58,3.31,0.59
101,42.4929,2.191,0.45,0.78,2.01,4.16,7.59,11.84,14.87,15.02,12.2,7.92,3.68,1.06
102,42.4929,2.2881,0.65,0.96,2.16,4.4,7.94,12.14,15.22,15.35,12.52,8.17,3.94,1.31
103,42.4929,2.3851,0.65,0.93,2.21,4.46,8.04,12.24,15.24,15.22,12.47,8.21,4.09,1.52
104,42.4929,2.4822,-1.41,-1.09,-0.46,1.81,5.34,9.63,12.55,12.51,10.03,5.94,1.89,-0.47
105,42.4927,2.5792,3.43,4.25,5.58,8.03,11.31,15.42,18.53,18.96,15.83,11.34,7.15,4.41
106,42.4924,2.6763,6.67,7.47,9.25,11.57,14.67,18.82,21.67,22.07,18.9,14.57,10.49,7.63
107,42.4921,2.7733,7.66,8.89,10.39,12.85,15.96,19.91,22.98,23.4,20.09,15.66,11.42,8.63
108,42.4916,2.8704,6.59,7.74,9.09,11.59,14.76,18.63,21.84,22.28,18.92,14.5,10.3,7.59
109,42.4911,2.9674,6.1,7.18,8.12,10.51,13.55,17.49,20.65,21.08,17.97,13.79,9.76,7.05
110,42.4905,3.0645,7.89,8.94,10.09,12.34,15.42,19.07,22.11,22.58,19.56,15.48,11.56,8.89
111,42.303,8.6801,7.28,7.61,8.7,10.73,13.76,17.69,20.78,20.68,18.94,15.07,11.12,8.02
112,42.2972,8.7765,3.92,4.12,5.11,7.31,10.77,15.25,18.35,18.29,15.63,11.54,7.74,4.76
113,42.2913,8.8729,2.19,2.42,3.19,5.55,9.26,13.57,16.88,16.81,14.04,9.77,5.86,3.12
114,42.2853,8.9693,2.8,2.78,4.09,6.1,9.52,14.39,17.13,16.82,14,10.36,6.83,3.65
115,42.2792,9.0656,3.8,3.99,4.77,7.03,10.65,15.1,18.15,18.17,15.39,11.32,7.61,4.38
116,42.273,9.162,7.19,7.34,8.74,10.67,13.71,18.5,21.07,21.08,18.52,14.8,11.26,7.69
117,42.2667,9.2583,6.25,6.6,7.65,9.73,12.92,17.31,20.34,20.33,17.77,13.89,10.2,6.85
118,42.2604,9.3546,6.55,6.9,7.98,10.05,13.2,17.6,20.59,20.58,18.06,14.19,10.51,7.14
119,42.2539,9.4509,7.82,8.35,9.48,11.62,14.7,18.68,21.98,21.95,19.65,15.65,11.75,8.67
120,42.5616,1.5106,-0.7,-0.34,0.96,3.49,6.68,10.52,14.19,14.68,11.58,6.87,2.5,0.22
